"","...1","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network","Treatment1","Treatment2","Treatment3"
"14967","OTU28Chaetomium",0.222725215029425,2.50561725939769,"Module hub","OTU28Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU28Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Control",8,18,"Fung-Fung","Rewetting period","Control","Control"
"14975","OTU22Periconia",0.46639231824417,2.59094652389328,"Module hub","OTU22Periconia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","_","Periconia","Endophyte","OTU22Periconia","Non-Yeast","Endophyte","Rhizosphere","Control",8,18,"Fung-Fung","Rewetting period","Control","Control"
"15134","OTU70Claroideoglomus",0.642857142857143,0.899367879116706,"Connector","OTU70Claroideoglomus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Claroideoglomeraceae","Claroideoglomus","Arbuscular mycorrhizal","OTU70Claroideoglomus","Non-Yeast","Arbuscular mycorrhizal","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung","Drought period","Drought","Drought"
"15143","OTU93Mortierella",0.625,0.66321159825515,"Connector","OTU93Mortierella","Eukaryote","Fungi","Mucoromycota","Mortierellomycotina","Mortierellales","Mortierellaceae","Mortierella","Saprotroph","OTU93Mortierella","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung","Drought period","Drought","Drought"
"15174","OTU87Spizellomyces",0.64,-0.687714571168217,"Connector","OTU87Spizellomyces","Eukaryote","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Plant pathogen","OTU87Spizellomyces","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung","Drought period","Drought","Drought"
"15180","OTU98Acrocalymma",0.72,NA,NA,"OTU98Acrocalymma","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Acrocalymma","Saprotroph","OTU98Acrocalymma","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung","Drought period","Drought","Drought"
"15183","OTU624Cylindrocarpon",0.666666666666667,-0.884282131006867,"Connector","OTU624Cylindrocarpon","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria","Plant pathogen","OTU624Cylindrocarpon","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung","Drought period","Drought","Drought"
"15210","OTU59Chaetomium",0,2.54163225749402,"Module hub","OTU59Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU59Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",8,18,"Fung-Fung","Rewetting period","Drought","Rewetting"
"15296","OTU18Gibberella",0,2.93378377311865,"Module hub","OTU18Gibberella","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Plant pathogen","OTU18Gibberella","Non-Yeast","Plant pathogen","Root","Control",2,9,"Fung-Fung","Drought period","Control","Control"
"15477","OTU56Agaricomycetes",0.64,1.16666666666667,"Connector","OTU56Agaricomycetes","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","_","Oliveonia","Saprotroph","OTU56Agaricomycetes","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",8,18,"Fung-Fung","Rewetting period","Drought","Rewetting"
"15484","OTU208Dothideomycetes",0.64,-0.577350269189626,"Connector","OTU208Dothideomycetes","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","PleosporalesfamIncertaesedis","Wettsteinina","Unidentified & others","OTU208Dothideomycetes","Non-Yeast","Unidentified & others","Root","Pre_flowering_drought",8,18,"Fung-Fung","Rewetting period","Drought","Rewetting"
"15611","OTU23Stachybotrys",0,2.80626956449281,"Module hub","OTU23Stachybotrys","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Stachybotrys","Saprotroph","OTU23Stachybotrys","Non-Yeast","Saprotroph","Soil","Control",8,18,"Fung-Fung","Rewetting period","Control","Control"
"15620","OTU65Corynascus",0,2.74725970695089,"Module hub","OTU65Corynascus","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascus","Saprotroph","OTU65Corynascus","Non-Yeast","Saprotroph","Soil","Control",8,18,"Fung-Fung","Rewetting period","Control","Control"
