"","...1","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network","Treatment1","Treatment2","Kingdom2","Treatment3"
"15878","OTU1Cladosporium",0,2.77379229996326,"Module hub","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Leaf","Control",8,18,"interBF","Rewetting period","Control","Fungi","Control"
"15881","OTU14Symmetrospora",0.24,2.77379229996326,"Module hub","OTU14Symmetrospora","Eukaryote","Fungi","Basidiomycota","Cystobasidiomycetes","_","Symmetrosporaceae","Symmetrospora","SaprotrophYeast","OTU14Symmetrospora","Yeast","SaprotrophYeast","Leaf","Control",8,18,"interBF","Rewetting period","Control","Fungi","Control"
"15898","Bac104",0.628099173553719,-0.101343469113886,"Connector","Bac104","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","MicrobacteriaceaeFA","_","Bac104","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15900","Bac351",0.641975308641975,-0.337811563712954,"Connector","Bac351","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","Agromyces","_","Bac351","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15901","Bac467",0.625,-0.101343469113886,"Connector","Bac467","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac467","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15903","Bac663",0.625,-0.101343469113886,"Connector","Bac663","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac663","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15906","Bac53",0.666666666666667,-0.278919491499648,"Connector","Bac53","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","_","Bac53","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15907","Bac110",0.65625,-0.337811563712954,"Connector","Bac110","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac110","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15910","Bac321",0.625,-0.255431200207053,"Connector","Bac321","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac321","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
"15916","Bac784",0.65625,-0.278919491499648,"Connector","Bac784","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac784","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF","Rewetting period","Drought","Bacteria","Rewetting"
