"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac1",0,1.22474487139159,"Peripherals","Bac1","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac1","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac2",0,0.243975018237133,"Peripherals","Bac2","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","StreptophytaOR","StreptophytaOR","_","Bac2","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac18",0.444444444444444,0,"Peripherals","Bac18","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter","_","Bac18","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac6",0,0,"Peripherals","Bac6","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","_","Bac6","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac13",0,-0.577350269189626,"Peripherals","Bac13","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio","_","Bac13","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac28",0,-1,"Peripherals","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac35",0,2,"Peripherals","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac0",0,-0.577350269189626,"Peripherals","Bac0","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea","_","Bac0","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac7",0,-0.935414346693485,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac47",0,1.87082869338697,"Peripherals","Bac47","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Leclercia","_","Bac47","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac55",0,1.15470053837925,"Peripherals","Bac55","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac55","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac90",0,0.935414346693485,"Peripherals","Bac90","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac90","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac5",0,0.243975018237133,"Peripherals","Bac5","Prokaryote","Bacteria","_","_","_","_","_","_","Bac5","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac128",0,1,"Peripherals","Bac128","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Intrasporangiaceae","IntrasporangiaceaeFA","_","Bac128","Actinobacteria","Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac172",0,0,"Peripherals","Bac172","Prokaryote","Bacteria","Chloroflexi","SOGA31","SOGA31CL","SOGA31CL","SOGA31CL","_","Bac172","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac48",0,-0.577350269189626,"Peripherals","Bac48","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","_","Bac48","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
"Bac9",0,NA,NA,"Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Leaf","Control",2,9,"Bac-Bac"
