"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac3",0,1.15470053837925,"Peripherals","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac9",0,-0.577350269189626,"Peripherals","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac21",0,1.15470053837925,"Peripherals","Bac21","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","_","Bac21","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac17",0,-0.7319250547114,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac25",0.46875,0.3659625273557,"Peripherals","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac32",0.444444444444444,1.0978875820671,"Peripherals","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac34",0,0.3659625273557,"Peripherals","Bac34","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac34","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac27",0,NA,NA,"Bac27","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Bac27","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac35",0.429752066115702,1.4638501094228,"Peripherals","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac18",0.444444444444444,-0.483493778415228,"Peripherals","Bac18","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter","_","Bac18","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac1",0,-0.7319250547114,"Peripherals","Bac1","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac1","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac41",0.32,0,"Peripherals","Bac41","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micromonosporaceae","MicromonosporaceaeFA","_","Bac41","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac45",0.677685950413223,1.8298126367785,"Connector","Bac45","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Bac45","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac31",0,0,"Peripherals","Bac31","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac31","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac71",0,1.22474487139159,"Peripherals","Bac71","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas","_","Bac71","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac61",0.402777777777778,1.8298126367785,"Peripherals","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac59",0.444444444444444,0,"Peripherals","Bac59","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac59","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac67",0,-0.82915619758885,"Peripherals","Bac67","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac67","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac127",0,-1.36989903884315,"Peripherals","Bac127","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac127","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac100",0.583333333333333,1.0978875820671,"Peripherals","Bac100","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac100","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac130",0.5,1.6583123951777,"Peripherals","Bac130","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac130","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac106",0,0.63924610173529,"Peripherals","Bac106","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac106","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac60",0.5,1.28931674244061,"Peripherals","Bac60","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac60","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac66",0.611111111111111,0.63924610173529,"Peripherals","Bac66","Prokaryote","Bacteria","Nitrospirae","NitrospiraePH","Nitrospirales","Nitrospiraceae","NitrospiraceaeFA","_","Bac66","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac167",0.611111111111111,0.63924610173529,"Peripherals","Bac167","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Thermomonosporaceae","Actinomadura","_","Bac167","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac19",0.444444444444444,-0.0983455541131216,"Peripherals","Bac19","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac19","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac118",0,-0.835937209961534,"Peripherals","Bac118","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus","_","Bac118","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",2,9,"Bac-Bac"
