"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac3",0,2.54663033884723,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac7",0,2.66835606573553,"Module hub","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac9",0,2.24231602162649,"Peripherals","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac8",0.3046875,-0.771149025530059,"Peripherals","Bac8","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac8","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac12",0,1.81627597751746,"Peripherals","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac15",0,1.08592161618769,"Peripherals","Bac15","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Actinosynnemataceae","Lentzea","_","Bac15","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac16",0.498269896193772,0.228452697661908,"Peripherals","Bac16","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac16","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac14",0.569444444444444,-0.590337944400684,"Peripherals","Bac14","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Niastella","_","Bac14","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac1",1.11022302462516e-16,0.469851846736295,"Peripherals","Bac1","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac1","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac4",0.356227683259819,0.263018368025236,"Peripherals","Bac4","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","_","Bac4","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac18",0.19775390625,0.366435107380765,"Peripherals","Bac18","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter","_","Bac18","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac21",0.0978980228928199,2.69331174288018,"Module hub","Bac21","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","_","Bac21","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac22",0.193761814744802,2.072811306747,"Peripherals","Bac22","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","BurkholderialesOR","BurkholderialesOR","_","Bac22","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac17",0,3.5204361539536,"Module hub","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac25",0,2.66835606573553,"Module hub","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac27",1.11022302462516e-16,2.72921892917967,"Module hub","Bac27","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Bac27","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac24",0.0156240312480624,2.15037386126365,"Peripherals","Bac24","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac24","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac28",0,2.66835606573553,"Module hub","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac11",0.32,-0.557375696804301,"Peripherals","Bac11","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac11","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac32",0,2.54663033884723,"Module hub","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac34",0,2.30317888507064,"Peripherals","Bac34","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac34","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac35",1.11022302462516e-16,2.91180751951212,"Module hub","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac30",0,2.30549897029694,"Peripherals","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac39",0.48,-0.0990635591631287,"Peripherals","Bac39","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac39","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac19",0,-0.31392424302771,"Peripherals","Bac19","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac19","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac37",0,1.57282452374087,"Peripherals","Bac37","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Promicromonosporaceae","PromicromonosporaceaeFA","_","Bac37","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac40",0.379504132231405,-0.0472318500413526,"Peripherals","Bac40","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac40","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac42",0.197530864197531,-0.693586471013412,"Peripherals","Bac42","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac42","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac31",0,-0.00960992580697194,"Peripherals","Bac31","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac31","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac36",0.296296296296296,0.112115801081323,"Peripherals","Bac36","Prokaryote","Bacteria","Nitrospirae","NitrospiraePH","Nitrospirales","Nitrospiraceae","NitrospiraceaeFA","_","Bac36","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac48",0.396694214876033,0.883485211311982,"Peripherals","Bac48","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","_","Bac48","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac49",0.172335600907029,0.366435107380765,"Peripherals","Bac49","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac49","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac51",0.459950160199359,1.70227585337457,"Peripherals","Bac51","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac51","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac13",0,0.883485211311982,"Peripherals","Bac13","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio","_","Bac13","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac38",0.124444444444444,0.0646945692493897,"Peripherals","Bac38","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","_","Bac38","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac55",0.0587695133149678,1.53851772496206,"Peripherals","Bac55","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac55","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac29",0.433884297520661,0.112115801081323,"Peripherals","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac45",0,2.24231602162649,"Peripherals","Bac45","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","PseudonocardiaceaeFA","_","Bac45","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac58",0,2.66835606573553,"Module hub","Bac58","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac58","Actinobacteria","Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac50",0,1.20764734307598,"Peripherals","Bac50","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","SyntrophobacteraceaeFA","_","Bac50","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac20",0.625,-0.99973326543198,"Connector","Bac20","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac20","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
"Bac44",0.0425330812854442,1.21962320706388,"Peripherals","Bac44","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera","_","Bac44","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",2,9,"Bac-Bac"
