"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac3",0,2.72868871207038,"Module hub","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac9",0,-0.11193019557602,"Peripherals","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac7",0,0.10657895116601,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac12",0,-0.155632024924426,"Peripherals","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac14",0.244897959183674,-0.200162090544942,"Peripherals","Bac14","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Niastella","_","Bac14","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac15",0,-0.548948489060081,"Peripherals","Bac15","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Actinosynnemataceae","Lentzea","_","Bac15","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac11",0.375,-0.200162090544942,"Peripherals","Bac11","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac11","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac20",0.474173553719008,1.08013394786659,"Peripherals","Bac20","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac20","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac19",0.345679012345679,-0.636352147756893,"Peripherals","Bac19","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac19","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac13",0,0.849510050088914,"Peripherals","Bac13","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio","_","Bac13","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac24",0.387130362349021,0.271665958417932,"Peripherals","Bac24","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac24","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac25",0,2.29167041858631,"Peripherals","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac17",1.11022302462516e-16,0.281386268559635,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac27",0,2.33537224793472,"Peripherals","Bac27","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Glycomycetaceae","Glycomyces","_","Bac27","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac22",0.119104240982957,1.96425443201367,"Peripherals","Bac22","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","BurkholderialesOR","BurkholderialesOR","_","Bac22","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac26",0.486851716581446,2.70960163311763,"Module hub","Bac26","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac26","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac29",0,1.67984480770863,"Peripherals","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac30",0.302679158448389,1.2796119033682,"Peripherals","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
"Bac28",0,-0.592650318408487,"Peripherals","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",8,18,"Bac-Bac"
