"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac7",0.277777777777778,0.640561473542518,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac12",0,2.13023931899024,"Peripherals","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac17",0.244897959183674,1.01298093490445,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac51",0,1.21310412645478,"Peripherals","Bac51","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac51","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac18",0,-0.900103987403647,"Peripherals","Bac18","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter","_","Bac18","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac59",0,1.21310412645478,"Peripherals","Bac59","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac59","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac84",0.5,-0.866025403784439,"Peripherals","Bac84","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac84","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac67",0,NA,NA,"Bac67","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac67","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac61",0.21875,1.23976586944276,"Peripherals","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac30",0,0.866025403784439,"Peripherals","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac90",0,0.866025403784439,"Peripherals","Bac90","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac90","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac77",0,1.63299316185545,"Peripherals","Bac77","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","Gemmatimonadales","Gemmatimonadaceae","GemmatimonadaceaeFA","_","Bac77","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac73",0,NA,NA,"Bac73","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac73","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac66",0,NA,NA,"Bac66","Prokaryote","Bacteria","Nitrospirae","NitrospiraePH","Nitrospirales","Nitrospiraceae","NitrospiraceaeFA","_","Bac66","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac29",0,0.268142012180589,"Peripherals","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac111",0.444444444444444,0.110282193314071,"Peripherals","Bac111","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","Saccharopolyspora","_","Bac111","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac112",0,-0.900103987403647,"Peripherals","Bac112","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac112","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac135",0,-0.186814035121512,"Peripherals","Bac135","Prokaryote","Bacteria","Chloroflexi","Thermomicrobia","Thermomicrobiales","ThermomicrobialesOR","ThermomicrobialesOR","_","Bac135","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac172",0.444444444444444,0.883120893301691,"Peripherals","Bac172","Prokaryote","Bacteria","Chloroflexi","SOGA31","SOGA31CL","SOGA31CL","SOGA31CL","_","Bac172","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac28",0,0.268142012180589,"Peripherals","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac34",0,1.01298093490445,"Peripherals","Bac34","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac34","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac97",0,-0.849116371905199,"Peripherals","Bac97","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","_","Bac97","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac120",0.444444444444444,1.15470053837925,"Peripherals","Bac120","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","BacillaceaeFA","_","Bac120","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac130",0,-0.47669691054327,"Peripherals","Bac130","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac130","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
"Bac137",0,0.408248290463863,"Peripherals","Bac137","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac137","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"Bac-Bac"
