"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac3",0,2.11782677286463,"Peripherals","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac8",0,-0.596380019238681,"Peripherals","Bac8","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac8","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac7",0,1.21309117549686,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac9",0,-0.71701143222105,"Peripherals","Bac9","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptosporangiaceae","Nonomuraea","_","Bac9","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac10",0.21875,0.00677704567316655,"Peripherals","Bac10","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac10","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac12",0,0.609934110585014,"Peripherals","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac15",1.11022302462516e-16,0.911512643040938,"Peripherals","Bac15","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Actinosynnemataceae","Lentzea","_","Bac15","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac14",0,0.216595429884644,"Peripherals","Bac14","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Niastella","_","Bac14","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac19",0.0555102040816327,1.21309117549686,"Peripherals","Bac19","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac19","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac23",0.110726643598616,0.127408458655536,"Peripherals","Bac23","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","_","Bac23","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac13",0.0739644970414202,0.670249817076199,"Peripherals","Bac13","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Cellvibrio","_","Bac13","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac25",0,1.63530112093515,"Peripherals","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac17",0,0.489302697602644,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac11",0,0.216595429884644,"Peripherals","Bac11","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac11","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac26",0.0370238519045923,0.617700105271144,"Peripherals","Bac26","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac26","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac30",0.473372781065089,2.92403830344269,"Module hub","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac29",0,0.489302697602644,"Peripherals","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac21",1.11022302462516e-16,-0.415432899765127,"Peripherals","Bac21","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","_","Bac21","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac39",1.11022302462516e-16,0.790881230058568,"Peripherals","Bac39","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac39","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac35",1.11022302462516e-16,-0.415432899765127,"Peripherals","Bac35","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac35","Actinobacteria","Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac20",0,0.758084004596253,"Peripherals","Bac20","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac20","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac42",0.5,-0.866381719538575,"Peripherals","Bac42","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac42","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
"Bac43",0,0.549618404093829,"Peripherals","Bac43","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac43","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"crossBF"
