"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac8",0,-0.885818242031115,"Peripherals","Bac8","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Chitinophaga","_","Bac8","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac11",0.697530864197531,0.243748643780373,"Connector","Bac11","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac11","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac14",0.32,0.695575398104969,"Peripherals","Bac14","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","Niastella","_","Bac14","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac19",0.567901234567901,1.54481702380777,"Peripherals","Bac19","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac19","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac21",0,0.323333795680697,"Peripherals","Bac21","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","_","Bac21","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac26",0,-0.287407818382842,"Peripherals","Bac26","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac26","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac17",0,2.04494943258218,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac23",0.364197530864198,2.05105566107875,"Peripherals","Bac23","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","_","Bac23","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac25",0,0.578252081894657,"Peripherals","Bac25","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Kribbella","_","Bac25","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
"Bac32",0,0.954115935126184,"Peripherals","Bac32","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac32","Actinobacteria","Actinobacteria","Rhizosphere","Pre_flowering_drought",2,9,"crossBF"
