"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac7",0,1.7535212007008,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac12",0,2.40431257415677,"Peripherals","Bac12","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac12","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac17",0.21875,1.10272982724484,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac51",0,0.706928809724148,"Peripherals","Bac51","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac51","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac18",0,-1.00683800172833,"Peripherals","Bac18","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Kaistobacter","_","Bac18","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac59",0,0.706928809724148,"Peripherals","Bac59","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac59","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac84",0.444444444444444,-0.524248606395086,"Peripherals","Bac84","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac84","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac67",0,NA,NA,"Bac67","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac67","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac61",0,1.39243553430514,"Peripherals","Bac61","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","NocardioidaceaeFA","_","Bac61","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac30",0,0.866025403784439,"Peripherals","Bac30","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac30","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac90",0.5,-0.866025403784439,"Peripherals","Bac90","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac90","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac77",0,1.63299316185545,"Peripherals","Bac77","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","Gemmatimonadales","Gemmatimonadaceae","GemmatimonadaceaeFA","_","Bac77","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac73",0,NA,NA,"Bac73","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac73","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac66",0,NA,NA,"Bac66","Prokaryote","Bacteria","Nitrospirae","NitrospiraePH","Nitrospirales","Nitrospiraceae","NitrospiraceaeFA","_","Bac66","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac29",0,0.777334140516851,"Peripherals","Bac29","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Balneimonas","_","Bac29","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac111",0,0.706928809724148,"Peripherals","Bac111","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Pseudonocardiaceae","Saccharopolyspora","_","Bac111","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac112",0,-1.00683800172833,"Peripherals","Bac112","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac112","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac135",0,-0.32133127714734,"Peripherals","Bac135","Prokaryote","Bacteria","Chloroflexi","Thermomicrobia","Thermomicrobiales","ThermomicrobialesOR","ThermomicrobialesOR","_","Bac135","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac172",0,1.73518889659564,"Peripherals","Bac172","Prokaryote","Bacteria","Chloroflexi","SOGA31","SOGA31CL","SOGA31CL","SOGA31CL","_","Bac172","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac28",0,0.126542767060883,"Peripherals","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac34",0,1.42812551397282,"Peripherals","Bac34","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Skermanella","_","Bac34","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac97",0,-0.198852919667102,"Peripherals","Bac97","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","_","Bac97","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac120",0.444444444444444,1.15470053837925,"Peripherals","Bac120","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","BacillaceaeFA","_","Bac120","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac130",0,-0.524248606395086,"Peripherals","Bac130","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac130","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac137",0,0.408248290463863,"Peripherals","Bac137","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac137","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac131",0,0,"Peripherals","Bac131","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","FlexibacteraceaeFA","_","Bac131","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac173",0,-0.928053685889097,"Peripherals","Bac173","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Alicyclobacillus","_","Bac173","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac70",0,0.021422085143156,"Peripherals","Bac70","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac70","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac69",0,-0.866025403784439,"Peripherals","Bac69","Prokaryote","Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","_","Bac69","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac150",0,NA,NA,"Bac150","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micromonosporaceae","Dactylosporangium","_","Bac150","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac95",0,-0.88894875277345,"Peripherals","Bac95","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac95","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac174",0,2.07794225888613,"Peripherals","Bac174","Prokaryote","Bacteria","Chloroflexi","Thermomicrobia","ThermomicrobiaCL","ThermomicrobiaCL","ThermomicrobiaCL","_","Bac174","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac197",0,0.706928809724148,"Peripherals","Bac197","Prokaryote","Bacteria","_","_","_","_","_","_","Bac197","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac39",0,-0.5,"Peripherals","Bac39","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac39","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac185",0,-0.5,"Peripherals","Bac185","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac185","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac182",0,0,"Peripherals","Bac182","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac182","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac155",0,NA,NA,"Bac155","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardiaceae","NocardiaceaeFA","_","Bac155","Actinobacteria","Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac26",0,-0.816496580927726,"Peripherals","Bac26","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac26","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac235",0,1.73518889659564,"Peripherals","Bac235","Prokaryote","Bacteria","Chloroflexi","Thermomicrobia","ThermomicrobiaCL","ThermomicrobiaCL","ThermomicrobiaCL","_","Bac235","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
"Bac225",0,1.24452825388283,"Peripherals","Bac225","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","GemmatimonadetesPH","_","Bac225","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",2,9,"crossBF"
