"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU2Setophoma",0.32,0.939981743642978,"Peripherals","OTU2Setophoma","Eukaryote","Fungi","Ascomycota","_","_","_","Setophoma","Plant pathogen","OTU2Setophoma","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU1Cladosporium",0,0,"Peripherals","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Leaf","Control",2,9,"Fung-Fung"
"OTU5Acremonium",0.21875,0.595321770973886,"Peripherals","OTU5Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU5Acremonium","Non-Yeast","Endophyte","Leaf","Control",2,9,"Fung-Fung"
"OTU18Gibberella",0.355029585798817,1.62930168898116,"Peripherals","OTU18Gibberella","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Plant pathogen","OTU18Gibberella","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU16Fusarium",0.32,0.939981743642978,"Peripherals","OTU16Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU16Fusarium","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU17Acrophialophora",0.444444444444444,0.866025403784439,"Peripherals","OTU17Acrophialophora","Eukaryote","Fungi","Ascomycota","_","_","_","Acrophialophora","Plant pathogen","OTU17Acrophialophora","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU32Fusarium",0.42,0.866025403784439,"Peripherals","OTU32Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU32Fusarium","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU19Sarocladium",0.244897959183674,0.250661798304794,"Peripherals","OTU19Sarocladium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Sarocladium","Plant pathogen","OTU19Sarocladium","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU4Alternaria",0,1.82574185835055,"Peripherals","OTU4Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU4Alternaria","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU26Sporobolomyces",0,NA,NA,"OTU26Sporobolomyces","Eukaryote","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","_","Sporobolomyces","SaprotrophYeast","OTU26Sporobolomyces","Yeast","SaprotrophYeast","Leaf","Control",2,9,"Fung-Fung"
"OTU11Epicoccum",0,0,"Peripherals","OTU11Epicoccum","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Epicoccum","Plant pathogen","OTU11Epicoccum","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU7Alternaria",0,NA,NA,"OTU7Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU7Alternaria","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU31Chaetomium",0,-0.783318119702481,"Peripherals","OTU31Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU31Chaetomium","Non-Yeast","Saprotroph","Leaf","Control",2,9,"Fung-Fung"
"OTU28Chaetomium",0.444444444444444,-0.866025403784439,"Peripherals","OTU28Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU28Chaetomium","Non-Yeast","Saprotroph","Leaf","Control",2,9,"Fung-Fung"
"OTU35Myrothecium",0.408163265306122,-0.0939981743642977,"Peripherals","OTU35Myrothecium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotriaceae","Striaticonidium","Saprotroph","OTU35Myrothecium","Non-Yeast","Saprotroph","Leaf","Control",2,9,"Fung-Fung"
"OTU10Filobasidium",0,-0.912870929175277,"Peripherals","OTU10Filobasidium","Eukaryote","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","SaprotrophYeast","OTU10Filobasidium","Yeast","SaprotrophYeast","Leaf","Control",2,9,"Fung-Fung"
"OTU20Xylariales",0,-1.47263806504067,"Peripherals","OTU20Xylariales","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","_","Monosporascus","Plant pathogen","OTU20Xylariales","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU22Periconia",0.32,-0.43865814703339,"Peripherals","OTU22Periconia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","_","Periconia","Endophyte","OTU22Periconia","Non-Yeast","Endophyte","Leaf","Control",2,9,"Fung-Fung"
"OTU13Preussia",0,-1.47263806504067,"Peripherals","OTU13Preussia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Saprotroph","OTU13Preussia","Non-Yeast","Saprotroph","Leaf","Control",2,9,"Fung-Fung"
"OTU86Acrophialophora",0,-0.866025403784439,"Peripherals","OTU86Acrophialophora","Eukaryote","Fungi","Ascomycota","_","_","_","Acrophialophora","Plant pathogen","OTU86Acrophialophora","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU34Stachybotrys",0.408163265306122,-0.0939981743642977,"Peripherals","OTU34Stachybotrys","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotriaceae","Achroiostachys","Saprotroph","OTU34Stachybotrys","Non-Yeast","Saprotroph","Leaf","Control",2,9,"Fung-Fung"
"OTU24Cryptococcus",0,NA,NA,"OTU24Cryptococcus","Eukaryote","Fungi","Basidiomycota","Tremellomycetes","Tremellales","_","Cryptococcus","SaprotrophYeast","OTU24Cryptococcus","Yeast","SaprotrophYeast","Leaf","Control",2,9,"Fung-Fung"
"OTU27Alternaria",0,0,"Peripherals","OTU27Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU27Alternaria","Non-Yeast","Plant pathogen","Leaf","Control",2,9,"Fung-Fung"
"OTU33Aureobasidium",0,-0.912870929175277,"Peripherals","OTU33Aureobasidium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Aureobasidium","SaprotrophYeast","OTU33Aureobasidium","Yeast","SaprotrophYeast","Leaf","Control",2,9,"Fung-Fung"
