"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU2Setophoma",0.59504132231405,1.15614662603216,"Peripherals","OTU2Setophoma","Eukaryote","Fungi","Ascomycota","_","_","_","Setophoma","Plant pathogen","OTU2Setophoma","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU1Cladosporium",0,1.36176194850481,"Peripherals","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU5Acremonium",0.567901234567901,1.4142135623731,"Peripherals","OTU5Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU5Acremonium","Non-Yeast","Endophyte","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU6Fusarium",0.32,0.115614662603216,"Peripherals","OTU6Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU6Fusarium","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU18Gibberella",0.56,1.15614662603216,"Peripherals","OTU18Gibberella","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Plant pathogen","OTU18Gibberella","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU16Fusarium",0.571428571428571,NA,NA,"OTU16Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU16Fusarium","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU17Acrophialophora",0.653061224489796,NA,NA,"OTU17Acrophialophora","Eukaryote","Fungi","Ascomycota","_","_","_","Acrophialophora","Plant pathogen","OTU17Acrophialophora","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU4Alternaria",0,1.36176194850481,"Peripherals","OTU4Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU4Alternaria","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU32Fusarium",0.56,1.15614662603216,"Peripherals","OTU32Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU32Fusarium","Non-Yeast","Plant pathogen","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU22Periconia",0,0,"Peripherals","OTU22Periconia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","_","Periconia","Endophyte","OTU22Periconia","Non-Yeast","Endophyte","Leaf","Pre_flowering_drought",2,9,"Fung-Fung"
