"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU1Cladosporium",0,0.610709005415512,"Peripherals","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU5Acremonium",0.474505723204995,1.38183814607642,"Peripherals","OTU5Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU5Acremonium","Non-Yeast","Endophyte","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU6Fusarium",0.444444444444444,0.603078951803221,"Peripherals","OTU6Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU6Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU2Setophoma",0.297520661157025,0.656373119386298,"Peripherals","OTU2Setophoma","Eukaryote","Fungi","Ascomycota","_","_","_","Setophoma","Plant pathogen","OTU2Setophoma","Non-Yeast","Plant pathogen","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU16Fusarium",0.471655328798186,0.414551443822925,"Peripherals","OTU16Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU16Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU17Acrophialophora",0.451171875,1.14001647051304,"Peripherals","OTU17Acrophialophora","Eukaryote","Fungi","Ascomycota","_","_","_","Acrophialophora","Plant pathogen","OTU17Acrophialophora","Non-Yeast","Plant pathogen","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU31Chaetomium",0.428720083246618,0.784273076336027,"Peripherals","OTU31Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU31Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU12Talaromyces",0.493827160493827,-0.552735258430567,"Peripherals","OTU12Talaromyces","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Saprotroph","OTU12Talaromyces","Non-Yeast","Saprotroph","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU32Fusarium",0.391111111111111,-0.212294608594407,"Peripherals","OTU32Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU32Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Control",8,18,"Fung-Fung"
"OTU28Chaetomium",0.222725215029425,2.50561725939769,"Module hub","OTU28Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU28Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Control",8,18,"Fung-Fung"
