"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU6Fusarium",0.142011834319527,2.28196198614908,"Peripherals","OTU6Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU6Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU2Setophoma",0.277777777777778,0.254538078995294,"Peripherals","OTU2Setophoma","Eukaryote","Fungi","Ascomycota","_","_","_","Setophoma","Plant pathogen","OTU2Setophoma","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU16Fusarium",0.197530864197531,1.09409136322216,"Peripherals","OTU16Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU16Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU32Fusarium",0.42,0.797123707490434,"Peripherals","OTU32Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU32Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU8Agaricomycetes",0,NA,NA,"OTU8Agaricomycetes","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Gloeoporus","Saprotroph","OTU8Agaricomycetes","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU20Xylariales",0,-0.712706621186824,"Peripherals","OTU20Xylariales","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","_","Monosporascus","Plant pathogen","OTU20Xylariales","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU7Alternaria",0.581314878892734,1.68802667468562,"Peripherals","OTU7Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU7Alternaria","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU31Chaetomium",0.5,-1.03512152124753,"Peripherals","OTU31Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU31Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU22Periconia",0.5,-0.0678768210654117,"Peripherals","OTU22Periconia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","_","Periconia","Endophyte","OTU22Periconia","Non-Yeast","Endophyte","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU28Chaetomium",0,-0.0678768210654117,"Peripherals","OTU28Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU28Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU13Preussia",0.56,0.500156051758704,"Peripherals","OTU13Preussia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Saprotroph","OTU13Preussia","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU41Fusarium",0.541666666666667,0.797123707490434,"Peripherals","OTU41Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU41Fusarium","Non-Yeast","Plant pathogen","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU59Chaetomium",0.46,0.899367879116706,"Peripherals","OTU59Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU59Chaetomium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU65Corynascus",0,-0.712706621186824,"Peripherals","OTU65Corynascus","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascus","Saprotroph","OTU65Corynascus","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU73Trichocladium",0.459183673469388,1.54419767923812,"Peripherals","OTU73Trichocladium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","Saprotroph","OTU73Trichocladium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU81Schizothecium",0,1.22178277917741,"Peripherals","OTU81Schizothecium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","Saprotroph","OTU81Schizothecium","Non-Yeast","Saprotroph","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU51Rhizophagus",0.444444444444444,1.86661257929882,"Peripherals","OTU51Rhizophagus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Glomeraceae","Rhizophagus","Arbuscular mycorrhizal","OTU51Rhizophagus","Non-Yeast","Arbuscular mycorrhizal","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU70Claroideoglomus",0.642857142857143,0.899367879116706,"Connector","OTU70Claroideoglomus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Claroideoglomeraceae","Claroideoglomus","Arbuscular mycorrhizal","OTU70Claroideoglomus","Non-Yeast","Arbuscular mycorrhizal","Rhizosphere","Pre_flowering_drought",2,9,"Fung-Fung"
