"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU1Cladosporium",0,1.46249406456535,"Peripherals","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Root","Control",8,18,"Fung-Fung"
"OTU5Acremonium",0,2.043559728424,"Peripherals","OTU5Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU5Acremonium","Non-Yeast","Endophyte","Root","Control",8,18,"Fung-Fung"
"OTU6Fusarium",0,0.0973123680201904,"Peripherals","OTU6Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU6Fusarium","Non-Yeast","Plant pathogen","Root","Control",8,18,"Fung-Fung"
"OTU17Acrophialophora",1.11022302462516e-16,1.26506078426247,"Peripherals","OTU17Acrophialophora","Eukaryote","Fungi","Ascomycota","_","_","_","Acrophialophora","Plant pathogen","OTU17Acrophialophora","Non-Yeast","Plant pathogen","Root","Control",8,18,"Fung-Fung"
"OTU16Fusarium",0,NA,NA,"OTU16Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU16Fusarium","Non-Yeast","Plant pathogen","Root","Control",8,18,"Fung-Fung"
"OTU19Sarocladium",0,-0.681186576141333,"Peripherals","OTU19Sarocladium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Sarocladium","Plant pathogen","OTU19Sarocladium","Non-Yeast","Plant pathogen","Root","Control",8,18,"Fung-Fung"
"OTU4Alternaria",0,1.46249406456535,"Peripherals","OTU4Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU4Alternaria","Non-Yeast","Plant pathogen","Root","Control",8,18,"Fung-Fung"
"OTU31Chaetomium",0,0.0973123680201904,"Peripherals","OTU31Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU31Chaetomium","Non-Yeast","Saprotroph","Root","Control",8,18,"Fung-Fung"
"OTU35Myrothecium",0,0.875811312181713,"Peripherals","OTU35Myrothecium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotriaceae","Striaticonidium","Saprotroph","OTU35Myrothecium","Non-Yeast","Saprotroph","Root","Control",8,18,"Fung-Fung"
"OTU22Periconia",0,1.65431025634324,"Peripherals","OTU22Periconia","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","_","Periconia","Endophyte","OTU22Periconia","Non-Yeast","Endophyte","Root","Control",8,18,"Fung-Fung"
"OTU10Filobasidium",0,0.208927723509336,"Peripherals","OTU10Filobasidium","Eukaryote","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","SaprotrophYeast","OTU10Filobasidium","Yeast","SaprotrophYeast","Root","Control",8,18,"Fung-Fung"
"OTU26Sporobolomyces",0,-1.04463861754668,"Peripherals","OTU26Sporobolomyces","Eukaryote","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","_","Sporobolomyces","SaprotrophYeast","OTU26Sporobolomyces","Yeast","SaprotrophYeast","Root","Control",8,18,"Fung-Fung"
"OTU18Gibberella",0,0,"Peripherals","OTU18Gibberella","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Plant pathogen","OTU18Gibberella","Non-Yeast","Plant pathogen","Root","Control",8,18,"Fung-Fung"
"OTU24Cryptococcus",0.277777777777778,0.208927723509336,"Peripherals","OTU24Cryptococcus","Eukaryote","Fungi","Basidiomycota","Tremellomycetes","Tremellales","_","Cryptococcus","SaprotrophYeast","OTU24Cryptococcus","Yeast","SaprotrophYeast","Root","Control",8,18,"Fung-Fung"
