"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU31Chaetomium",0,0.866025403784439,"Peripherals","OTU31Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU31Chaetomium","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU8Agaricomycetes",0,NA,NA,"OTU8Agaricomycetes","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Gloeoporus","Saprotroph","OTU8Agaricomycetes","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU28Chaetomium",0,0.866025403784439,"Peripherals","OTU28Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU28Chaetomium","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU51Rhizophagus",0,NA,NA,"OTU51Rhizophagus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Glomeraceae","Rhizophagus","Arbuscular mycorrhizal","OTU51Rhizophagus","Non-Yeast","Arbuscular mycorrhizal","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU5Acremonium",0,-0.577350269189626,"Peripherals","OTU5Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU5Acremonium","Non-Yeast","Endophyte","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU37Zopfiella",0,NA,NA,"OTU37Zopfiella","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Zopfiella","Saprotroph","OTU37Zopfiella","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU109Beauveria",0,1.15470053837925,"Peripherals","OTU109Beauveria","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Geosmithia","Saprotroph","OTU109Beauveria","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU32Fusarium",0,-0.866025403784439,"Peripherals","OTU32Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU32Fusarium","Non-Yeast","Plant pathogen","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU9Meruliaceae",0,NA,NA,"OTU9Meruliaceae","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Gloeoporus","Saprotroph","OTU9Meruliaceae","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU86Acrophialophora",0,-0.866025403784439,"Peripherals","OTU86Acrophialophora","Eukaryote","Fungi","Ascomycota","_","_","_","Acrophialophora","Plant pathogen","OTU86Acrophialophora","Non-Yeast","Plant pathogen","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU70Claroideoglomus",0,NA,NA,"OTU70Claroideoglomus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Claroideoglomeraceae","Claroideoglomus","Arbuscular mycorrhizal","OTU70Claroideoglomus","Non-Yeast","Arbuscular mycorrhizal","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU158Ochroconis",0,NA,NA,"OTU158Ochroconis","Eukaryote","Fungi","Ascomycota","_","_","_","Ochroconis","Saprotroph","OTU158Ochroconis","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
"OTU137Eurotiales",0,-0.577350269189626,"Peripherals","OTU137Eurotiales","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Saprotroph","OTU137Eurotiales","Non-Yeast","Saprotroph","Root","Pre_flowering_drought",2,9,"Fung-Fung"
