"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"OTU1Cladosporium",0,0.182574185835056,"Peripherals","OTU1Cladosporium","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Davidiellaceae","Cladosporium","Saprotroph","OTU1Cladosporium","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU8Agaricomycetes",0,NA,NA,"OTU8Agaricomycetes","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Gloeoporus","Saprotroph","OTU8Agaricomycetes","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU28Chaetomium",0,1.76776695296637,"Peripherals","OTU28Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU28Chaetomium","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU4Alternaria",0,0.182574185835056,"Peripherals","OTU4Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU4Alternaria","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU26Sporobolomyces",0,1.09544511501033,"Peripherals","OTU26Sporobolomyces","Eukaryote","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","_","Sporobolomyces","SaprotrophYeast","OTU26Sporobolomyces","Yeast","SaprotrophYeast","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU14Symmetrospora",0.32,-0.521793932087204,"Peripherals","OTU14Symmetrospora","Eukaryote","Fungi","Basidiomycota","Cystobasidiomycetes","_","Symmetrosporaceae","Symmetrospora","SaprotrophYeast","OTU14Symmetrospora","Yeast","SaprotrophYeast","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU59Chaetomium",0,NA,NA,"OTU59Chaetomium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Saprotroph","OTU59Chaetomium","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU23Stachybotrys",0,NA,NA,"OTU23Stachybotrys","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Stachybotrys","Saprotroph","OTU23Stachybotrys","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU19Sarocladium",0,1.63299316185545,"Peripherals","OTU19Sarocladium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Sarocladium","Plant pathogen","OTU19Sarocladium","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU5Acremonium",0,NA,NA,"OTU5Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU5Acremonium","Non-Yeast","Endophyte","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU65Corynascus",0,0.353553390593274,"Peripherals","OTU65Corynascus","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascus","Saprotroph","OTU65Corynascus","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU64Penicillium",0,-0.577350269189626,"Peripherals","OTU64Penicillium","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Leucothecium","Saprotroph","OTU64Penicillium","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU27Alternaria",0,NA,NA,"OTU27Alternaria","Eukaryote","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Plant pathogen","OTU27Alternaria","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU74Gymnoascus",0,1.22474487139159,"Peripherals","OTU74Gymnoascus","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Saprotroph","OTU74Gymnoascus","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU45Waitea",0,NA,NA,"OTU45Waitea","Eukaryote","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Waitea","Plant pathogen","OTU45Waitea","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU48Geomyces",0,NA,NA,"OTU48Geomyces","Eukaryote","Fungi","Ascomycota","Leotiomycetes","_","_","Geomyces","Saprotroph","OTU48Geomyces","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU46Thermomyces",0,NA,NA,"OTU46Thermomyces","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","_","Thermomyces","Endophyte","OTU46Thermomyces","Non-Yeast","Endophyte","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU166Rhizophagus",0,1.21751917487014,"Peripherals","OTU166Rhizophagus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Glomeraceae","Rhizophagus","Arbuscular mycorrhizal","OTU166Rhizophagus","Non-Yeast","Arbuscular mycorrhizal","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU101Aspergillus",0,0.353553390593274,"Peripherals","OTU101Aspergillus","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Saprotroph","OTU101Aspergillus","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU97Penicillium",0,0.353553390593274,"Peripherals","OTU97Penicillium","Eukaryote","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Penicillium","Saprotroph","OTU97Penicillium","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU82Nectria",0,NA,NA,"OTU82Nectria","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU82Nectria","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU6Fusarium",0,-0.577350269189626,"Peripherals","OTU6Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU6Fusarium","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU41Fusarium",0,-0.577350269189626,"Peripherals","OTU41Fusarium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Plant pathogen","OTU41Fusarium","Non-Yeast","Plant pathogen","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU39Sordariales",0,0.408248290463863,"Peripherals","OTU39Sordariales","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","Saprotroph","OTU39Sordariales","Non-Yeast","Saprotroph","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU205Acremonium",0,-0.816496580927726,"Peripherals","OTU205Acremonium","Eukaryote","Fungi","Ascomycota","Sordariomycetes","Hypocreales","_","Acremonium","Endophyte","OTU205Acremonium","Non-Yeast","Endophyte","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
"OTU150Rhizophagus",1.11022302462516e-16,0.782690898130805,"Peripherals","OTU150Rhizophagus","Eukaryote","Fungi","Mucoromycota","Glomeromycotina","Glomerales","Glomeraceae","Rhizophagus","Arbuscular mycorrhizal","OTU150Rhizophagus","Non-Yeast","Arbuscular mycorrhizal","Soil","Pre_flowering_drought",8,18,"Fung-Fung"
