"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac16",0,-0.0401998884052648,"Peripherals","Bac16","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac16","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac104",0,-0.0401998884052648,"Peripherals","Bac104","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","MicrobacteriaceaeFA","_","Bac104","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac110",0,-0.0401998884052648,"Peripherals","Bac110","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac110","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac117",0,-0.60299832607897,"Peripherals","Bac117","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera","_","Bac117","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac119",0,-0.0401998884052648,"Peripherals","Bac119","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac119","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac293",0,-0.60299832607897,"Peripherals","Bac293","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","_","Bac293","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac321",0,-0.321599107242118,"Peripherals","Bac321","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac321","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac351",0,-0.0401998884052648,"Peripherals","Bac351","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","Agromyces","_","Bac351","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac467",0,-0.321599107242118,"Peripherals","Bac467","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac467","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac492",0,-0.321599107242118,"Peripherals","Bac492","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Kineosporiaceae","KineosporiaceaeFA","_","Bac492","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac585",0,-0.321599107242118,"Peripherals","Bac585","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","Leucobacter","_","Bac585","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac663",0,-0.321599107242118,"Peripherals","Bac663","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac663","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac1382",0,-0.60299832607897,"Peripherals","Bac1382","Prokaryote","Bacteria","_","_","_","_","_","_","Bac1382","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac2",0,0.546237493126929,"Peripherals","Bac2","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","StreptophytaOR","StreptophytaOR","_","Bac2","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac5",0,0.546237493126929,"Peripherals","Bac5","Prokaryote","Bacteria","_","_","_","_","_","_","Bac5","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac44",0,2.33392383426961,"Peripherals","Bac44","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Buchnera","_","Bac44","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac1",0,0.0993159078412599,"Peripherals","Bac1","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac1","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac6",0,0.546237493126929,"Peripherals","Bac6","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","_","Bac6","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac75",0,0.0993159078412599,"Peripherals","Bac75","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","_","Bac75","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac734",0,-0.60299832607897,"Peripherals","Bac734","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardiaceae","Rhodococcus","_","Bac734","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac774",0,-0.60299832607897,"Peripherals","Bac774","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Bogoriellaceae","Georgenia","_","Bac774","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac784",0,-0.60299832607897,"Peripherals","Bac784","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac784","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac892",0.5,NA,NA,"Bac892","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Lutibacterium","_","Bac892","Non-Actinobacteria","Non-Actinobacteria","Leaf","Control",8,18,"interBF"
"Bac952",0,-0.60299832607897,"Peripherals","Bac952","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Kineosporiaceae","Kineococcus","_","Bac952","Actinobacteria","Actinobacteria","Leaf","Control",8,18,"interBF"
