"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac16",0.615384615384615,0.371592720084249,"Peripherals","Bac16","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac16","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac104",0.628099173553719,-0.101343469113886,"Connector","Bac104","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","MicrobacteriaceaeFA","_","Bac104","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac119",0.611111111111111,0.371592720084249,"Peripherals","Bac119","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac119","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac351",0.641975308641975,-0.337811563712954,"Connector","Bac351","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","Agromyces","_","Bac351","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac467",0.625,-0.101343469113886,"Connector","Bac467","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac467","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac492",0.59504132231405,0.371592720084249,"Peripherals","Bac492","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Kineosporiaceae","KineosporiaceaeFA","_","Bac492","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac663",0.625,-0.101343469113886,"Connector","Bac663","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac663","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2390",0,-0.337811563712954,"Peripherals","Bac2390","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac2390","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2",0,0.129099444873581,"Peripherals","Bac2","Prokaryote","Bacteria","Cyanobacteria","Chloroplast","Streptophyta","StreptophytaOR","StreptophytaOR","_","Bac2","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac53",0.666666666666667,-0.278919491499648,"Connector","Bac53","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","_","Bac53","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac110",0.65625,-0.337811563712954,"Connector","Bac110","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac110","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac228",0.53125,-0.058052545501603,"Peripherals","Bac228","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Kocuria","_","Bac228","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac230",0.56,0.139326109203847,"Peripherals","Bac230","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","_","Bac230","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac321",0.625,-0.255431200207053,"Connector","Bac321","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Micrococcaceae","Arthrobacter","_","Bac321","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac344",0.53125,-0.058052545501603,"Peripherals","Bac344","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","_","Bac344","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac482",0,-0.810747752911089,"Peripherals","Bac482","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Methylobacterium","_","Bac482","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac585",0.493827160493827,0.139326109203847,"Peripherals","Bac585","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","Leucobacter","_","Bac585","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac734",0.56,0.139326109203847,"Peripherals","Bac734","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardiaceae","Rhodococcus","_","Bac734","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac774",0.53125,-0.058052545501603,"Peripherals","Bac774","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Bogoriellaceae","Georgenia","_","Bac774","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac784",0.65625,-0.278919491499648,"Connector","Bac784","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac784","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac826",0.48,-0.337811563712954,"Peripherals","Bac826","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","_","_","_","Bac826","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac890",0.625,-0.650188509617953,"Connector","Bac890","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","_","Bac890","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac892",0.59504132231405,0.139326109203847,"Peripherals","Bac892","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Lutibacterium","_","Bac892","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac952",0.666666666666667,-0.278919491499648,"Connector","Bac952","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Kineosporiaceae","Kineococcus","_","Bac952","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1312",0.64,-0.278919491499648,"Connector","Bac1312","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac1312","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1382",0.625,-0.101343469113886,"Connector","Bac1382","Prokaryote","Bacteria","_","_","_","_","_","_","Bac1382","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1421",0.65625,-0.278919491499648,"Connector","Bac1421","Prokaryote","Bacteria","Thermi","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","_","Bac1421","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1465",0.625,-0.255431200207053,"Connector","Bac1465","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Dyadobacter","_","Bac1465","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1471",0.5,-0.278919491499648,"Peripherals","Bac1471","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac1471","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1576",0.611111111111111,-0.337811563712954,"Peripherals","Bac1576","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac1576","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1824",0.5,-0.810747752911089,"Peripherals","Bac1824","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac1824","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1969",0.64,-0.574279658312021,"Connector","Bac1969","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac1969","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2056",0.444444444444444,-0.574279658312021,"Peripherals","Bac2056","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac2056","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2071",0.444444444444444,-0.278919491499648,"Peripherals","Bac2071","Prokaryote","Bacteria","_","_","_","_","_","_","Bac2071","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2196",0.444444444444444,-0.278919491499648,"Peripherals","Bac2196","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","_","Bac2196","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2285",0.5,-0.255431200207053,"Peripherals","Bac2285","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","_","Bac2285","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2359",0.444444444444444,-0.574279658312021,"Peripherals","Bac2359","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Hymenobacter","_","Bac2359","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac2991",0.444444444444444,-0.278919491499648,"Peripherals","Bac2991","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","_","_","_","Bac2991","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac3356",0.5,-0.574279658312021,"Peripherals","Bac3356","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Nocardioidaceae","Nocardioides","_","Bac3356","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac4",0.32,-0.255431200207053,"Peripherals","Bac4","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","_","Bac4","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac46",0.5,-0.5,"Peripherals","Bac46","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Microbacteriaceae","Cryocola","_","Bac46","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac65",0,-0.847567164323404,"Peripherals","Bac65","Prokaryote","Bacteria","Bacteroidetes","Flavobacteria","Flavobacteriales","Flavobacteriaceae","Chryseobacterium","_","Bac65","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac161",0.277777777777778,-0.058052545501603,"Peripherals","Bac161","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Dyadobacter","_","Bac161","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac1060",0.244897959183674,0.139326109203847,"Peripherals","Bac1060","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Flectobacillus","_","Bac1060","Non-Actinobacteria","Non-Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
"Bac3",0,0.129099444873581,"Peripherals","Bac3","Prokaryote","Bacteria","Actinobacteria","ActinobacteriaPH","Actinomycetales","Streptomycetaceae","Streptomyces","_","Bac3","Actinobacteria","Actinobacteria","Leaf","Pre_flowering_drought",8,18,"interBF"
