"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac26",0,-0.20266815588863,"Peripherals","Bac26","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac26","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac77",0,-0.562446709934621,"Peripherals","Bac77","Prokaryote","Bacteria","Gemmatimonadetes","GemmatimonadetesPH","Gemmatimonadales","Gemmatimonadaceae","GemmatimonadaceaeFA","_","Bac77","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac85",0,-0.490490999125423,"Peripherals","Bac85","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","RhizobialesOR","RhizobialesOR","_","Bac85","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac106",0,-0.490490999125423,"Peripherals","Bac106","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac106","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac115",0,0.229066108966561,"Peripherals","Bac115","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","RhodospirillaceaeFA","_","Bac115","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac136",0,-0.418535288316225,"Peripherals","Bac136","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac136","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac153",0,-0.0587567342702328,"Peripherals","Bac153","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","_","Bac153","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac192",0,0.157110398157362,"Peripherals","Bac192","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac192","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac202",0,0.157110398157362,"Peripherals","Bac202","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","SinobacteraceaeFA","_","Bac202","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac207",0.165289256198347,0.0851546873481639,"Peripherals","Bac207","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","_","Bac207","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac209",0,0.0131989765389656,"Peripherals","Bac209","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","CaulobacteraceaeFA","_","Bac209","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac219",1.11022302462516e-16,-0.130712445079431,"Peripherals","Bac219","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac219","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac234",0,-0.0587567342702328,"Peripherals","Bac234","Prokaryote","Bacteria","Acidobacteria","AcidobacteriaPH","Acidobacteriales","AcidobacterialesOR","AcidobacterialesOR","_","Bac234","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac238",0,0.301021819775759,"Peripherals","Bac238","Prokaryote","Bacteria","Acidobacteria","Sva0725","Sva0725CL","Sva0725CL","Sva0725CL","_","Bac238","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac253",1.11022302462516e-16,-0.130712445079431,"Peripherals","Bac253","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","RhizobialesOR","RhizobialesOR","_","Bac253","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac257",0,0.157110398157362,"Peripherals","Bac257","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","HyphomonadaceaeFA","_","Bac257","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac264",0,-0.562446709934621,"Peripherals","Bac264","Prokaryote","Bacteria","SPAM","SPAMPH","SPAMPH","SPAMPH","SPAMPH","_","Bac264","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac276",0,-0.0587567342702328,"Peripherals","Bac276","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MyxococcalesOR","MyxococcalesOR","_","Bac276","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
"Bac283",0,-0.346579577507026,"Peripherals","Bac283","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac283","Non-Actinobacteria","Non-Actinobacteria","Rhizosphere","Control",8,18,"interBF"
