"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac419",0,1.89358013005349,"Peripherals","Bac419","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","RickettsiaceaeFA","_","Bac419","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1345",0,0.135255723575249,"Peripherals","Bac1345","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac1345","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac2127",0,-0.216409157720399,"Peripherals","Bac2127","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","MIZ46OR","MIZ46OR","_","Bac2127","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac7",0,1.60356745147455,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac17",0,0,"Peripherals","Bac17","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac17","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac84",0,-0.801783725737273,"Peripherals","Bac84","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac84","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac113",0,-0.216409157720399,"Peripherals","Bac113","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac113","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac512",0,0.486920604870896,"Peripherals","Bac512","Prokaryote","Bacteria","Bacteroidetes","BacteroidetesPH","BacteroidetesPH","BacteroidetesPH","BacteroidetesPH","_","Bac512","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac2027",0,-0.216409157720399,"Peripherals","Bac2027","Prokaryote","Bacteria","_","_","_","_","_","_","Bac2027","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac284",0,0.730296743340221,"Peripherals","Bac284","Prokaryote","Bacteria","CCM11b","CCM11bPH","CCM11bPH","CCM11bPH","CCM11bPH","_","Bac284","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1067",0,-1.09544511501033,"Peripherals","Bac1067","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus","_","Bac1067","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1376",0,-0.568074039016046,"Peripherals","Bac1376","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MyxococcalesOR","MyxococcalesOR","_","Bac1376","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac560",0,NA,NA,"Bac560","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","MIZ46","MIZ46OR","MIZ46OR","_","Bac560","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac2705",0,-0.216409157720399,"Peripherals","Bac2705","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac2705","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac410",0,-0.568074039016046,"Peripherals","Bac410","Prokaryote","Bacteria","Planctomycetes","vadinHA49","vadinHA49CL","vadinHA49CL","vadinHA49CL","_","Bac410","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac769",0,-0.568074039016046,"Peripherals","Bac769","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","ThiotrichalesOR","ThiotrichalesOR","_","Bac769","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac974",0,-0.568074039016046,"Peripherals","Bac974","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","MyxococcalesOR","MyxococcalesOR","_","Bac974","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1248",0.5,-0.577350269189626,"Peripherals","Bac1248","Prokaryote","Bacteria","Spirochaetes","Leptospirae","Leptospirales","Leptospiraceae","LeptospiraceaeFA","_","Bac1248","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1295",0,-0.568074039016046,"Peripherals","Bac1295","Prokaryote","Bacteria","Planctomycetes","vadinHA49","vadinHA49CL","vadinHA49CL","vadinHA49CL","_","Bac1295","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1433",0,-0.568074039016046,"Peripherals","Bac1433","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","_","_","_","_","Bac1433","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1805",0,-0.568074039016046,"Peripherals","Bac1805","Prokaryote","Bacteria","Planctomycetes","vadinHA49","vadinHA49CL","vadinHA49CL","vadinHA49CL","_","Bac1805","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac3687",0,-0.568074039016046,"Peripherals","Bac3687","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","BdellovibrionaceaeFA","_","Bac3687","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac4356",0,-0.568074039016046,"Peripherals","Bac4356","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","_","_","_","_","Bac4356","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac95",0,0.0730521553794475,"Peripherals","Bac95","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac95","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac1787",0,-0.577350269189626,"Peripherals","Bac1787","Prokaryote","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","VerrucomicrobialesOR","VerrucomicrobialesOR","_","Bac1787","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac380",0.277777777777778,0.3787852437326,"Peripherals","Bac380","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac380","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
"Bac839",0.277777777777778,0.3787852437326,"Peripherals","Bac839","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","_","Bac839","Non-Actinobacteria","Non-Actinobacteria","Soil","Control",8,18,"interBF"
