"","Pi","Zi","group","otu.name","Kingdom","Kingdom1","Phylum","Class","Order","Family","Genus","Funguild","OTU.ID","Morph","Morph1","Habitat","Treatment","tpA","tpB","network"
"Bac22",0,-0.133808524782567,"Peripherals","Bac22","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","BurkholderialesOR","BurkholderialesOR","_","Bac22","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac68",0.625,-0.133808524782567,"Connector","Bac68","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","Flexibacteraceae","Cytophaga","_","Bac68","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac165",0,-0.501781967934626,"Peripherals","Bac165","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","BurkholderialesOR","Methylibium","_","Bac165","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac204",0,-0.501781967934626,"Peripherals","Bac204","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","211ds20","211ds20FA","_","Bac204","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac1029",0.653061224489796,0.234164918369492,"Connector","Bac1029","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","HaliangiaceaeFA","_","Bac1029","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac2146",0.40625,1.44945534025601,"Peripherals","Bac2146","Prokaryote","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","_","_","Bac2146","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac1562",0,NA,NA,"Bac1562","Prokaryote","Bacteria","Proteobacteria","_","_","_","_","_","Bac1562","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac7",0,0.866025403784439,"Peripherals","Bac7","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac7","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac2009",0,NA,NA,"Bac2009","Prokaryote","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","RhodocyclalesOR","RhodocyclalesOR","_","Bac2009","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac28",0,-0.866025403784439,"Peripherals","Bac28","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac28","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac1457",0,NA,NA,"Bac1457","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus","_","Bac1457","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac909",0,NA,NA,"Bac909","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac909","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac139",0,-0.816496580927726,"Peripherals","Bac139","Prokaryote","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","XanthomonadalesOR","XanthomonadalesOR","_","Bac139","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac836",0,-0.816496580927726,"Peripherals","Bac836","Prokaryote","Bacteria","Acidobacteria","Chloracidobacteria","ChloracidobacteriaCL","ChloracidobacteriaCL","ChloracidobacteriaCL","_","Bac836","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac2698",0,0.408248290463863,"Peripherals","Bac2698","Prokaryote","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","SyntrophobacteraceaeFA","_","Bac2698","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac357",0,NA,NA,"Bac357","Prokaryote","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","_","Bac357","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
"Bac897",0.375,0.491869376837965,"Peripherals","Bac897","Prokaryote","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","SphingobacterialesOR","SphingobacterialesOR","_","Bac897","Non-Actinobacteria","Non-Actinobacteria","Soil","Pre_flowering_drought",8,18,"interBF"
